Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	krio				यो पत्र कसले लेखेको हो?	पावल र तिमोथीले पत्र लेखे।
1:1	nkj4				धार्मिकताको सेवकाईको महिमा हुन्छ	यो कोरिन्थमा भएको परमेश्वरको मण्डली र अखायाको सम्पूर्ण इलाकाका सबै सन्तहरूलाई लेखिएको थियो।
1:3	zfqy				पावलले परमेश्वरलाई कसरी वर्णन गर्छन्?	पावलले परमेश्वरलाई हाम्रा प्रभु येशू ख्रीष्टका पिता, कृपाका पिता र सबै सान्त्वनाका परमेश्वरको रूपमा वर्णन गर्छन्।
1:4	yoz4				हाम्रो दु:खमा परमेश्वरले हामीलाई किन सान्त्वना दिनुहुन्छ?	उहाँले हामीलाई सान्त्वना दिनुहुन्छ ताकि हामी दुःखमा परेकाहरूलाई सान्त्वना दिन सक्षम छौं, जसरी हामी आफैंले परमेश्वरबाट सान्त्वना पाएका छौं।
1:8-9	khhr				एसियामा पावल र तिनका साथीहरूलाई कस्तो समस्या भयो?	तिनीहरूले सहन सक्ने भन्दा बाहिर बोझ थिए, ताकि तिनीहरूले मर्ने आशा गरे।
1:9	cz6y				के कारणले पाव र तिनका साथीहरूको मृत्युदण्ड थियो?	मृत्युको सजायले उनीहरूलाई आफैंमा भरोसा राखेनन्, बरु परमेश्वरमा भरोसा राख्यो।
1:11	jd06				कोरिन्थिका मण्डलीले तिनीहरूलाई मदत गर्न सक्छ भनेर पावलले कसरी भने?	पावलले भने किकोरिन्थिका मण्डलीले तिनीहरूको प्रार्थनाद्वारा तिनीहरूलाई मद्दत गर्न सक्छ।
1:12	yux4				पावलले आफू र तिनका साथीहरूलाई घमण्ड गरेको कुरा के भन्‍नुभयो?	तिनीहरू आफ्नो अन्तस्करणको गवाहीमा गर्व गर्थे, जुन तिनीहरूले संसारमा र विशेष गरी कोरिन्थियन मण्डलीसँग व्यवहार गर्दा-पवित्रता र निष्कपटताका साथ परमेश्वरबाट आएका थिए, पार्थिव बुद्धि अनुसार होइन तर उहाँको अनुग्रहले। भगवान।
1:14	ikct				हाम्रा प्रभु येशूको दिनमा के हुनेछ भनी पावल विश्वस्त थिए?	त्यस दिन पावल र तिनका साथीहरू कोरिन्थका सन्तहरूको गर्वको कारण हुनेछन् भनी उनी विश्वस्त थिए।
1:15	hzbm				पावलले कोरिन्थका सन्तहरूलाई कति पटक भेट्ने योजना बनाएका थिए?	उनीहरुलाई दुई पटक भेट्ने योजना थियो ।
1:22	t3mt				ख्रीष्टले हाम्रो हृदयमा आत्मा दिनुभएको एउटा कारण के हो?	उहाँले हामीलाई पछि के दिनुहुनेछ भन्ने ग्यारेन्टी वा डाउन पेमेन्टको रूपमा आत्मा दिनुभयो।
1:23	ycfl				पावल कोरिन्थमा किन आएनन्?	तिनी कोरिन्थमा आएका होइनन् ताकि तिनीहरुलाई बचाउन सकून्।
