Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	lq6d				यस पत्रमा लेखक यूहन्‍नाले आफूलाई कुन शीर्षकले चिनाउँछन्?	यूहन्‍नाले आफूलाई एल्डरको रूपमा चिनाउँछन्।
1:1	igzu				यो पत्र कसलाई लेखिएको हो?	यो पत्र चुनिएकी महिला र उनका छोराछोरीहरूलाई लेखिएको हो।
1:3	lte6				यूहन्‍नाले अनुग्रह, दया र शान्ति कसबाट आउँछ भनी भन्छन्?	यूहन्‍ना भन्छन् अनुग्रह, दया र शान्ति परमेश्‍वर, पिता र उहाँका पुत्र येशू ख्रीष्‍टबाट आउँछन्।
1:4	o53o				यूहन्‍ना किन आनन्‍दित छन्?	युहन्‍ना आनन्‍दित छन् किनभने उनले केही महिलाका छोराछोरीहरूलाई सत्यमा हिँडिरहेको भेट्टाए।
1:5	dgsv				यूहन्‍नाले सुरुदेखि नै उनीहरूले के आज्ञा पाएका छन् भनी भन्दछन्?	उनीहरूले पाएका आज्ञा तिनीहरूले सुरुदेखि नै एक-अर्कालाई प्रेम गर्ने छ।
1:6	ajw5				यूहन्‍नाले प्रेम के हो भन्‍छन्?	प्रेम भनेको परमेश्‍वरको आज्ञा अनुसार चल्नु हो।
1:7	l075				येशू ख्रीष्‍ट शरीरमा आउनुभयो भनी स्वीकार नगर्नेहरूलाई यूहन्‍नाले के भन्छन्?	यूहन्‍नाले तिनीहरूलाई भ्रममा पार्ने र ख्रीष्‍ट विरोधी भन्छन्।
1:8	nwzf				यूहन्‍नाले विश्‍वासीहरूलाई के नगर्न होसियार हुन भन्‍नुहुन्छ?	यूहन्‍नाले विश्‍वासीहरूलाई आफूले काम गरेको कुरा गुमाउन नपरोस् भनी बताउँछन्।
1:10	t59t				यूहन्‍नाले विश्‍वासीहरूलाई ख्रीष्‍टको बारेमा साँचो शिक्षा नल्याउने जो कोहीलाई के गर्न भन्‍छन्?	तिनीहरूले ख्रीष्‍टको बारेमा साँचो शिक्षा नल्याउने कसैलाई पनि ग्रहण गर्नु हुँदैन।
1:11	ykw2				यदि कसैले ख्रीष्‍टको बारेमा साँचो शिक्षा नल्याउने व्यक्तिलाई ग्रहण गर्छ भने विश्‍वासी केको दोषी हुन्छ?	झूटा शिक्षकलाई ग्रहण गर्ने र अभिवादन गर्ने विश्‍वासीले उसको खराब काममा भाग लिन्छ।
1:12	rz4r				यूहन्‍नाले भविष्यमा के गर्ने आशा राख्छन्?	यूहन्‍ना आएर चुनिएकी महिलासँग प्रत्यक्ष कुरा गर्ने आशा राख्छन्।
