Reference	ID	Tags	Quote	Occurrence	Question	Response
1:3	bgsa				थेसलोनिकीको मण्डलीको कुन दुई कुराको लागी पावलले परमेश्वरलाई धन्यवाद दिन्छन् ?	पावलले तिनीहरूको बढ्दै गरेको विश्वास र एकअर्का प्रतिको तिनीहरूको प्रेमको निम्ति परमेश्वरलाई धन्यवाद दिन्छन् ।
1:4	affh				थेसलोनिकीमा रहेका विश्वासीहरूले कस्तो परिस्थितिहरू सहिरहेका छन् ?	विश्वासीहरूले सतावट र कष्टहरू सहिरहेका छन् ।
1:5	iisl				विश्वासीहरूले सहिरहेको परिस्थितिहरूले कस्तो सकारात्मक परिणाम ल्याउनेछ ?	परमेश्वरको राज्यमा विश्वासीहरू योग्यको ठहरिनेछन् ।
1:6-8	f751				विश्वासीहरूलाई सताउनेहरूसँग परमेश्वरले के गर्नुहुनेछ ?	परमेश्वरले विश्वासीहरूलाई कष्ट दिनेलाई बल्दो आगोले तिनीहरूलाई दण्ड दिदै कष्ट दिनुहुनेछ ।
1:7	au4m				विश्वासीहरूले कहिले उनीहरूको कष्टबाट राहत पाउनेछन् ?	जब स्वर्गबाट येशू ख्रीष्ट प्रकट हुनुहुनेछ तब विश्वासीहरूले राहत पाउनेछन् ।
1:9	mtma				परमेश्वरलाई नचिन्नेहरूले कति लामो समयसम्म दण्ड भोग्नेछन् ?	परमेश्वरलाई नचिन्नेहरूले अनन्तसम्म दण्ड भोग्नेछन् ।
1:9	zsqw				परमेश्वरलाई नचिन्नेहरू तिनीहरूको दण्डको भाग अनुसार केबाट अलग गरिएका छन् ?	परमेश्वरलाई नचिन्नेहरू तिनीहरूको दण्डको भाग अनुसार प्रभुको उपस्थितिबाट अलग गरिएका छन् ।
1:10	te4i				विश्वासीहरूले के गर्नेछन् जब तिनीहरूले ख्रीष्ट आफ्नो दिनमा आउनु भएको देख्नेछन् ?	जब ख्रीष्ट आफ्नो दिनमा आउनुहुनेछ, तब विश्वासीहरू उहाँमा अचम्मित हुनेछन् ।
1:11-12	xhcf				परमेश्वरको शक्तिमा गरिएको विश्वासीहरूको असल कामहरूको परिणाम के हो ?	तिनीहरूको असल कामको परिणाम प्रभु येशू ख्रीष्टको नाउँको महिमा हुनु हो ।
2:1	ffb9				अब कुन घटनाको बारेमा लेख्न गहिरहेका छन् भनि पावलले भन्छन् ?	पावलले भन्छन् कि उनी अब प्रभु येशू ख्रीष्टको आगमनको सम्बन्धमा लेख्न गहिरहेका छन् ।
