Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	z3bd				पावललाई ख्रीष्‍ट येशूको प्रेरित कसरी बनाइयो?	पावललाई परमेश्‍वरको आज्ञा अनुसार प्रेरित बनाइएको थियो।
1:2	sl85				पावल र तिमोथीबीच कस्तो सम्बन्ध थियो?	तिमोथी विश्‍वासमा पावलको साँचो बालक थिए।
1:3	q1ob				पावलले तिमोथीलाई कहाँ बस्‍न आग्रह गरे?	उनले तिमोथीलाई एफिससमा रहन आग्रह गरे।
1:3	slty				तिमोथीले केही मानिसहरूलाई के नगर्न आदेश दिएका थिए?	उसले तिनीहरूलाई फरक तरिकाले सिकाउन नदिने आज्ञा दिएका थिए।
1:5	crq2				पावलले आफ्नो आज्ञा र शिक्षाको लक्ष्य के हो भने?	उनको आज्ञाको लक्ष्य शुद्ध हृदयबाट, असल अन्तस्करणबाट, र निष्कपट विश्‍वासबाट प्रेम थियो।
1:9	tqor				व्यवस्था कसका लागि बनेको हो ?	व्यवस्था कुकर्मी, विद्रोही, अभक्त मानिसहरू र पापीहरूको लागि हो।
1:13	cfvj				पावलले पहिले कस्ता पाप गरेका थिए?	पावल ईश्‍वरनिन्दा गर्ने, खेदो गर्ने, र हिंस्रक मानिस थिए।
1:14	q6g0				पावलमा के उर्लिआयो, जसको परिणामस्वरूप पावल येशू ख्रीष्‍टको प्रेरित बने?	हाम्रा प्रभुको अनुग्रह पावलमा उर्लिआयो।
1:15	iw1l				ख्रीष्‍ट येशू कसलाई बचाउन संसारमा आउनुभयो?	ख्रीष्‍ट येशू पापीहरूलाई बचाउन संसारमा आउनुभयो।
1:16	o828				पावलले किन परमेश्‍वरले उनलाई कृपा दिनुभयो भन्‍छन्?	येशूले पावलमा आफ्नो धैर्यतालाई उदाहरणको रूपमा देखाउन सकून् भनेर परमेश्‍वरले पावललाई कृपा दिनुभयो।
1:18	milu				तिमोथीको बारेमा गरिएका अगमवाणीहरूअनुसार पावलले तिमोथीलाई के गर्न भने?	पावलले तिमोथीलाई असल लडाईसँग लड्न भन्छन्।
1:19	m2of				आफ्नो विश्‍वास र आफ्नो असल विवेकलाई इन्कार गर्ने कसै-कसैलाई के भयो?	यी मानिसहरूले आफ्नो विश्‍वासको जहाज डुबाए।
1:20	yc47				पावलले आफ्नो ​विश्‍वास र राम्रो विवेक अस्वीकार गर्ने र आफ्नो विश्‍वासको जहाज डुबाएका पुरुषहरूको लागि  के गरे ?	पावलले तिनीहरूलाई तिनीहरूले ईश्‍वरनिन्दा नगर्नु भन्‍ने कुरा सिकून् भनेर शैतानको हातमा सुम्पिदिए।
2:1	wr9k				पावलले कसको लागि प्रार्थना गर्न आग्रह गर्छन्?	पावलले सबै मानिसहरूका लागि प्रार्थना गरिदिन अनुरोध गर्दछ।
2:2	acep				ख्रीष्‍टियानहरूलाई कस्तो प्रकारको जीवन बाँच्‍न दिइयोस् भन्‍ने पावल चाहन्छन्?	ख्रीष्‍टियानहरूले सबै भक्ति र मर्यादामा शान्तिपूर्ण र शान्त जीवन बिताउन पाउनुपर्छ भनी पावल चाहन्छन्।
2:4	kuft				परमेश्‍वर सबै मानिसहरूका लागि के चाहनुहुन्छ?	परमेश्‍वर सबै मानिसहरूले मुक्ति पाएको र सत्यको ज्ञानमा आएको चाहनुहुन्छ।
2:5	bpzk				परमेश्‍वर र मानिस बीच ख्रीष्‍ट येशूको स्थान के हो?	ख्रीष्‍ट येशू परमेश्‍वर र मानिस बीचको एक मध्यस्थ हुनुहुन्छ।
2:6	eq8p				ख्रीष्‍ट येशूले सबैको लागि के गर्नुभयो?	ख्रीष्‍ट येशूले आफूलाई सबैका लागि छुटकाराको मोलको रूपमा दिनुभयो।
2:7	zati				प्रेरित पावलले कसलाई सिकाउँछन्?	पावल राष्‍ट्रहरूका शिक्षक हुन्।
2:8	otgq				पावल पुरुषहरूले के गरेको चाहन्छन्?	पावल ती मानिसहरूले प्रार्थना गरेको र पवित्र हातहरू उठाएको चाहन्‍छन्।
2:9	o7jf				पावल स्त्रीहरूले के गरेको चाहन्छन्?	पावल स्त्रीहरूले नम्र र आत्मसंयमको साथ लुगा लगाएको चाहन्छन्।
2:12	uv0v				पावलले स्त्रीलाई के गर्न अनुमति दिँदैनन्?	पावलले स्त्रीलाई सिकाउन वा पुरुषमाथि अधिकार प्रयोग गर्न अनुमति दिँदैनन्।
2:13	rygx				पावलले स्त्रीलाई सिकाउन वा पुरुषमाथि अधिकार प्रयोग गर्न नदिने पहिलो कारण के हो?	पावलको पहिलो कारण आदमलाई पहिले बनाइएको हो।
2:14	v47f				पावलले स्त्रीलाई सिकाउन वा पुरुषमाथि अधिकार प्रयोग गर्न नदिने दोस्रो कारण के हो?	पावलको दोस्रो कारण आदम छलिएका थिएनन्।
2:15	wsul				पावल स्त्रीहरूलाई के मा रहको चाहन्छन्?	पावल स्त्रीहरूले विश्‍वास र प्रेम र पवित्रतामा मनको सुदृढताका साथ जारी राखेको चाहन्छन्।
3:1	kkd2				बिशपको काम कस्तो प्रकारको काम हो?	बिशपको काम असल काम हो।
3:2	qr30				एक बिशप के गर्न सक्षम हुनुपर्छ?	बिशप सिकाउन सक्षम हुनुपर्छ।
3:3	b69p				एक बिशपले रक्सी र पैसा कसरी सम्हाल्नुपर्छ?	एक बिशप मतवाला हुनु हुँदैन, र धनलाई प्रेम गर्ने हुनु हुँदैन।
3:4	eyah				बिशपका छोराछोरीले उनलाई कस्तो व्यवहार गर्नुपर्छ?	बिशपका छोराछोरीहरूले उनको आज्ञा पालन गर्नै पर्छ र आदर गर्नुपर्छ।
3:5	qcts				बिशपलेआफ्नो घरपरिवारलाई राम्ररी व्यवस्थापन गर्नु किन महत्त्वपूर्ण छ?	यो महत्त्वपूर्ण छ किनभने यदि उनले आफ्नो घरपरिवारलाई राम्रोसँग व्यवस्थापन गर्न सक्दैनन् भने, उनले मण्डलीको लागि राम्रोसँग हेरचाह गर्नेछैनन्।
3:6	vh1h				यदि बिशप नयाँ विश्‍वासी भएमा के खतरा हुन्छ?	खतरा यो हो कि ऊ फुलेर निन्दामा पर्नेछ।
3:7	fbs1				मण्डली बाहिरका मानिसहरूसँग बिशपको प्रतिष्‍ठा कस्तो हुनुपर्छ?	एक बिशपको मण्डलीको प्रतिष्‍ठा बाहिरकाहरूसँग असल हुनुपर्छ।
3:10	fe41				डिकनहरूले सेवा गर्नु अघि के गर्नुपर्छ?	तिनीहरूले सेवा गर्नु अघि, डिकनहरूको परीक्षण गरिनुपर्छ।
3:11	tt7f				ईश्‍वरीय स्त्रीहरूका केही विशेषताहरू के-के हुन्?	ईश्‍वरीय स्त्रीहरू प्रतिष्‍ठित हुन्छन्, निन्दा गर्ने होइनन्, संयमी र सबै कुरामा विश्‍वासयोग्य हुन्छन्।
3:15	h9jj				परमेश्‍वरको घर के हो?	परमेश्‍वरको घर जीवित परमेश्‍वरको मण्डली हो।
3:16	l73n				येशू शरीरमा देखा पर्नुभएपछि, आत्माद्वारा धर्मी ठहरिनुभएपछि, र स्वर्गदूतहरूले देख्नुभएपछि, उहाँले के गर्नुभयो?	येशूलाई राष्‍ट्रहरूमाझ घोषणा गरियो, संसारमा विश्‍वास गरियो, र महिमामा उठाइयो।
4:1	xv1v				आत्माको अनुसार, पछिल्ला समयमा केही मानिसहरूले के गर्नेछन्?	कोही मानिसहरूले विश्‍वास त्यागेर धोका दिने आत्माहरू र भूतहरूको शिक्षामा भाग लिनेछन्।
4:3	ovfa				यी मानिसहरूले के झुट सिकाउनेछन्?	तिनीहरूले विवाह निषेध गर्नेछन् र केही खानेकुराहरू खान निषेध गर्नेछन्।
4:5	lih5				हामीले खानेकुरा हाम्रो प्रयोगको लागि कसरी पवित्र हुन्छ?	हामीले जे खान्छौँ त्यो परमेश्‍वरको वचन र प्रार्थनाद्वारा पवित्र हुन्छ।
4:7	cgd8				पावलले तिमोथीलाई केमा आफूलाई तालिम दिन भन्छन्?	पावल तिमोथीलाई भक्तिमा तालिम दिन भन्छन्।
4:8	pra7				शारीरिक तालिम भन्दा ईश्‍वरभक्तिको तालिम किन बढी लाभदायक छ?	ईश्‍वरभक्तिमा तालिम दिनु बढी लाभदायक छ किनभने यसले वर्तमान जीवन र आउने जीवनको प्रतिज्ञा राख्दछ।
4:11	esnx				पावलले तिमोथीलाई पावलको शिक्षामा पाएका सबै असल कुराहरूलाई के गर्न आग्रह गर्छन्?	पावलले तिमोथीलाई यी कुराहरूलाई आज्ञा दिन र सिकाउन आग्रह गर्छन्।
4:12	y0of				तिमोथी अरूहरूका लागि कस्तो उदाहरण बन्‍न सक्छन्‌?	तिमोथी शब्द, आचरण, प्रेम, विश्‍वास र शुद्धतामा उदाहरण बन्‍नुपर्दछ।
4:14	idhz				तिमोथीले आफूसँग भएको आत्मिक वरदान कसरी पाए?	तिमोथीलाई वरदान एल्डरहरूको हात राखेर अगमवाणीद्वारा दिइएको थियो।
4:16	xnxk				यदि तिमोथीले आफ्नो जीवन र शिक्षामा विश्‍वासी भई जारी राखे भने, कसले उद्धार पाउनेछ?	तिमोथीले आफू र आफ्ना श्रोताहरूलाई बचाउनेछन्।
5:1	d0jx				पावलले तिमोथीलाई मण्डलीमा एकजना वृद्ध मानिसलाई कसरी व्यवहार गर्न भने?	पावलले तिमोथीलाई बुबा जस्तै गरी आग्रह गर्न भने।
5:4	mqds				विधवाका छोराछोरी र नातिनातिनाहरूले उनको लागि के गर्नुपर्छ?	छोराछोरी र नातिनातिनाहरूले आफ्ना आमाबाबुलाई ऋण चुकाउनुपर्छ र उनको हेरचाह गर्नुपर्छ।
5:8	t8er				आफ्नै घरका मानिसहरूको ख्याल नगर्नेले के गरेको छ?	उसले विश्‍वासलाई इन्कार गरेको छ र एक अविश्‍वासी भन्दा खराब छ।
5:10	uzgg				विधवा केको लागि चिनिनुपर्छ?	विधवा असल कामको लागि प्रमाणित हुनुपर्छ।
5:11	qnfu				मण्डलीले हेरचाह गर्ने मानिसहरूको सूचीमा जवान विधवाहरूलाई किन भर्ना गर्नु हुँदैन?	यी जवान विधवाहरू पछि विवाह गर्न चाहनेछन्।
5:14	ub6k				पावल जवान महिलाहरूले के गरेको चाहन्छन्?	पावल जवान महिलाहरूले विवाह गरेको, छोराछोरी जन्माएको र घरपरिवार चलाएको चाहन्छन्।
5:17	ev62				असल नेतृत्व गर्ने एल्डरहरूका लागि के गरिनुपर्छ?	असल नेतृत्व गर्ने एल्डरहरूलाई दोहोरो सम्मानको योग्य ठान्‍नुपर्छ।
5:19	umc7				कसैले एल्डरलाई दोष लगाउनुअघि कस्ता सर्तहरू पूरा गर्नुपर्छ?	कसैले एक जना एल्डरमा आरोप लगाउँदा दुई वा तीन साक्षी हुनुपर्छ।
5:21	ptdz				पावलले तिमोथीलाई कुन तरिकामा यी नियमहरू पालन गर्न सावधान रहेका थिए?	पावल तिमोथीलाई यी नियमहरूलाई पक्षपात नगरी पालन गर्न होसियार हुन आज्ञा दिन्छन्।
5:24	ipho				मानिसहरूको पाप कहिले थाहा हुन्छ?	केही मानिसहरूका पापहरू स्पष्‍ट छन्, तर अरूका पापहरू न्याय नहुँदासम्म थाहा हुँदैन।
