Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	r3ao				यस पत्रमा लेखक यूहन्‍नाले आफूलाई कुन शीर्षकले चिनाउँछन्?	यूहन्‍नाले  आफूलाई एल्डरको रूपमा चिनाउँछन्।
1:1	yuwd				यो पत्र प्राप्त गर्ने गायससँग यूहन्‍नाको कस्तो सम्बन्ध छ?	यूहन्‍नाले गायसलाई सत्यतामा प्रेम गर्छन्।
1:2	i06l				यूहन्‍नाले गायसको बारेमा केको लागि प्रार्थना गर्छ?	यूहन्‍नाले प्रार्थना गर्छन् कि गायस सबै चीजहरूमा समृद्ध होऊन् र स्वास्थ्यमा होऊन्, जसरी उनको आत्माले उन्‍नति गरून्।
1:4	n2vf				यूहन्‍नाको सबैभन्दा ठूलो आनन्द के हो?	आफ्ना छोराछोरीहरू सत्यमा हिँडिरहेका छन् भनी सुन्‍नुमा यूहन्‍नाको सबैभन्दा ठूलो आनन्द हो।
1:5	h1gl				गायसले कसको लागि काम गरे?	गायसले भाइहरू अपरिचित भए तापनि तिनीहरूका लागि काम गरे।
1:6	bfoi				गायसले भाइहरूलाई तिनीहरूको यात्रामा कुन तरिकामा पठाए?	उहाँले तिनीहरूलाई परमेश्‍वरको योग्यको रूपमा पठाउनुभयो।
1:7	uxbr				भाइहरूलाई उनीहरूको यात्रामा पठाउन विश्‍वासीहरूबाट किन मद्दत चाहियो?	तिनीहरूलाई मद्दत चाहियो किनभने तिनीहरूले अन्यजातिहरूबाट केही पाएनन्।
1:8	y0oj				विश्‍वासीहरूले यस्ता भाइहरूलाई स्वागत गर्नुपर्छ भनी यूहन्‍नाले किन भने?	यूहन्‍ना भन्छन् कि विश्‍वासीहरूले तिनीहरूलाई स्वागत गर्नुपर्छ ताकि तिनीहरू सत्यको लागि सहकर्मी हुन सकून्।
1:9	uz5o				डायट्रोफेसले के मन पराउँछ?	डायट्रोफेस मण्डलीमा पहिलो हुन मन पराउँछ।
1:9	r54s				यूहन्‍नाप्रति डायट्रोफेसको मनोवृत्ति कस्तो छ?	डायट्रोफेसले यूहन्‍नालाई  ग्रहण गर्दैन।
1:10	osvj				यूहन्‍ना गायस र मण्डलीमा आउँदा के गर्नेछन्?	जब यूहन्‍ना आउँछन्, तिनले डायट्रोफेसका दुष्‍ट कामहरू सम्झनेछन्।
1:10	hnrs				बाहिर पठाइएका भाइहरूलाई डायट्रोफेसले के गर्छ?	डायट्रोफेसले भाइहरूलाई स्वीकार गर्दैन।
1:10	mzkb				यी भाइहरूलाई ग्रहण गर्नेहरूलाई डायट्रोफेसले के गर्छ?	डायट्रोफेसले तिनीहरूलाई भाइहरू स्वीकार गर्नबाट रोक्छ र तिनीहरूलाई मण्डलीबाट बाहिर निकाल्छ।
1:11	b95i				यूहन्‍नाले गायसलाई के अनुकरण गर्न भन्छन्?	यूहन्‍नाले गायसलाई जे असल छ त्यसको अनुकरण गर्न भन्छन्।
